ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
101;BGN;I;3;2;06/1999;5.314;8.139;258;0;0;-9.263;-913;0;0;-25;3.510;;1999;6;Resultado;;;;;
102;INTERIOR;I;3;;06/1999;16.325;2.421;-105;0;0;-6.209;-484;0;0;-1.419;10.529;;1999;6;Resultado;;;;;
103;GERDAU;I;3;2;06/1999;7.523;743;-581;0;0;-3.513;0;0;0;-76;4.096;;1999;6;Resultado;;;;;
104;MORADA;I;3;2;06/1999;8.120;1.082;-28;0;437;-2.892;-2.282;0;0;2.901;7.338;;1999;6;Resultado;;;;;
105;PECUNIA;I;3;2;06/1999;22.672;1.566;-52;0;530;-7.271;0;0;0;-7.683;9.762;;1999;6;Resultado;;;;;
106;PARANA;I;3;2;06/1999;12.102;2.289;-70;0;0;-7.655;0;0;0;-1.695;4.971;;1999;6;Resultado;;;;;
107;RENNER;I;3;;06/1999;12.688;2.947;0;0;0;-5.053;0;0;0;-715;9.867;;1999;6;Resultado;;;;;
108;LAVRA;C;3;;06/1999;17.629;-317;-196;4.354;0;-5.980;-12.839;0;0;-5.410;-2.759;;1999;6;Resultado;;;;;
109;SANTOS NEVES;I;3;2;06/1999;6.100;900;1;25;0;-3.632;-1.506;0;0;-142;1.746;;1999;6;Resultado;;;;;
110;GE CAPITAL;I;4;;06/1999;27.576;2.881;608;0;0;-16.208;0;0;0;-13.946;911;;1999;6;Resultado;;;;;
111;UNION;I;4;;06/1999;8.819;3.335;-463;1.040;0;-1.479;-6.882;0;0;1.151;5.521;;1999;6;Resultado;;;;;
112;BANCNACION;I;4;;06/1999;881;9.816;0;4.278;0;-301;-963;0;0;-704;13.007;;1999;6;Resultado;;;;;
113;FRANCES INTER;I;4;;06/1999;619;16.962;0;1.016;0;-52;-887;0;0;-709;16.949;;1999;6;Resultado;;;;;
114;LUSO BRASILEIRO;I;3;;06/1999;9.427;2.352;-840;0;0;-4.459;-2.185;0;0;-699;3.596;;1999;6;Resultado;;;;;
115;EXTERIBANK;I;4;;06/1999;1.214;18.543;0;995;0;-748;-186;0;0;25;19.843;;1999;6;Resultado;;;;;
116;PRIMUS;C;3;;06/1999;9;3.861;481;299;0;-2.187;-1.190;0;0;0;1.273;;1999;6;Resultado;;;;;
117;RIBEIRAO PRETO;I;3;;06/1999;7.339;723;112;0;0;-1.705;-1.257;0;0;-503;4.709;;1999;6;Resultado;;;;;
118;OPPORTUNITY;I;3;2;06/1999;0;40.651;0;0;0;-37.390;0;0;0;0;3.261;;1999;6;Resultado;;;;;
119;MATONE;I;3;2;06/1999;8.471;2.412;-20;0;3;-3.906;0;0;0;-1.655;5.305;;1999;6;Resultado;;;;;
120;CEDULA;I;3;;06/1999;4.557;4.463;3;0;10;-5.932;0;0;0;-232;2.869;;1999;6;Resultado;;;;;
121;BONSUCESSO;C;3;;06/1999;6.149;1.749;-732;0;0;-2.269;0;-1.403;0;-289;3.205;;1999;6;Resultado;;;;;
122;PLANIBANC;C;5;;06/1999;0;1.443;-9;0;0;-28;-107;0;0;0;1.299;;1999;6;Resultado;;;;;
123;BANCAP;I;3;2;06/1999;696;1.270;0;0;0;-3;0;0;0;-169;1.794;;1999;6;Resultado;;;;;
124;LA REPUBLICA;I;4;;06/1999;2.007;1.449;0;523;0;-1;-2.431;0;0;-5.244;-3.697;;1999;6;Resultado;;;;;
125;HISPANO;I;4;;06/1999;0;4.010;0;0;0;0;0;0;0;0;4.010;;1999;6;Resultado;;;;;
1;BNDES;I;1;;06/1999;7.012.343;2.960.456;-75.363;0;0;-637;-10.709.769;0;-4.562;-202.478;-1.020.010;;1999;6;Resultado;;;;;
2;CCF BRASIL;C;4;;06/1999;248.325;915.378;32.461;179.393;0;-840.874;-280.120;-61.530;0;-3.993;189.040;;1999;6;Resultado;;;;;
