ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18;19;20;21;22
99;CREDIBEL;I;3;2;12/1998;68.516;3.274;0;0;51.487;0;54.761;2.500;0;825;56;4.101;1998;12;Passivo;0;6.272;34.133;4.264;
100;FATOR;C;3;;12/1998;72.393;0;0;0;8.169;0;8.169;50.383;0;0;0;0;1998;12;Passivo;0;13.840;32.920;3.347;
101;LAVRA;I;3;2;12/1998;82.952;1.683;0;1.008;43.758;0;46.449;3.085;6.133;1.984;1.525;20.619;1998;12;Passivo;0;3.157;15.493;-6.334;
102;PECUNIA;I;3;2;12/1998;58.567;452;0;3.697;45.234;0;49.383;0;0;305;606;0;1998;12;Passivo;0;8.273;20.079;2.337;
103;INTERIOR;I;3;;12/1998;57.154;7.019;0;0;35.522;0;42.541;2.820;0;1.952;2.882;6.443;1998;12;Passivo;0;516;20.906;401;
104;BGN;I;3;2;12/1998;56.007;937;0;4.505;35.166;0;40.608;3.435;0;281;0;9.478;1998;12;Passivo;0;2.206;20.268;739;
105;PARANA;I;3;2;12/1998;55.745;3.316;0;0;46.566;0;49.882;0;0;40;0;0;1998;12;Passivo;0;5.822;14.009;2.022;
106;BCOMURUGUAI;I;4;;12/1998;51.390;555;0;12.810;8.037;0;21.402;0;0;741;0;23.495;1998;12;Passivo;0;5.752;18.180;1.097;
107;RENNER;I;3;;12/1998;46.493;110;0;0;39.322;0;39.432;0;0;134;0;0;1998;12;Passivo;0;6.927;22.547;2.857;
108;MORADA;I;3;2;12/1998;47.786;35;0;5.571;19.933;0;25.539;0;0;21;0;20.755;1998;12;Passivo;0;1.470;18.290;410;
109;SANTOS NEVES;I;3;2;12/1998;51.576;2.878;0;0;26.655;0;29.533;1.353;0;266;0;17.724;1998;12;Passivo;0;2.700;13.576;414;
110;BANCNACION;I;4;;12/1998;28.371;2.045;0;0;1.837;0;3.882;0;0;39;55;22.413;1998;12;Passivo;0;1.981;35.337;-896;
111;BANSICREDI;I;3;;12/1998;197.810;1.207;0;591;14.518;0;16.316;166.086;0;6.819;0;6.021;1998;12;Passivo;0;2.568;15.547;1.093;
