ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
103;SANTOS NEVES;I;3;2;12/1999;7.678;821;11;0;7;-2.578;-1.754;0;-2;103;4.286;;1999;12;Resultado
104;LAVRA;C;3;;12/1999;3.722;592;13;208;0;-1.932;-3.284;0;0;-2.010;-2.691;;1999;12;Resultado
105;BGN;I;3;2;12/1999;3.442;5.180;793;0;0;-5.888;-1.227;0;0;-78;2.222;;1999;12;Resultado
106;PARANA;I;3;2;12/1999;14.091;1.339;0;0;0;-5.273;0;0;0;-1.418;8.739;;1999;12;Resultado
107;PRIMUS;C;4;;12/1999;35;5.375;-68;550;0;-1.400;-1.906;0;0;0;2.586;;1999;12;Resultado
108;LUSO BRASILEIRO;I;3;;12/1999;8.317;1.125;149;0;0;-3.528;-300;0;0;-849;4.914;;1999;12;Resultado
109;ARGENTARIA;I;4;;12/1999;1.026;3.737;0;31;0;-153;-565;0;0;-31;4.045;;1999;12;Resultado
110;RIBEIRAO PRETO;I;3;;12/1999;5.987;638;256;0;0;-1.353;-1.428;0;0;-413;3.687;;1999;12;Resultado
111;BONSUCESSO;C;3;;12/1999;7.964;906;-68;0;0;-2.548;-124;-1.889;0;69;4.310;;1999;12;Resultado
112;OPPORTUNITY;I;3;2;12/1999;0;18.158;0;0;0;-15.483;0;0;0;0;2.675;;1999;12;Resultado
113;BANCNACION;I;4;;12/1999;538;726;0;1.108;0;-243;-612;0;0;-325;1.192;;1999;12;Resultado
114;PORTO REAL;I;3;;12/1999;6.833;377;-500;0;50;-2.986;-151;0;0;-940;2.683;;1999;12;Resultado
115;GE CAPITAL;I;4;;12/1999;4.292;881;21;0;0;-1.575;-87;-371;0;-5.412;-2.251;;1999;12;Resultado
116;GERDAU;I;3;2;12/1999;6.526;435;19;0;0;-3.241;0;0;0;125;3.864;;1999;12;Resultado
117;THECA;C;3;;12/1999;0;1.365;1.821;0;0;-523;0;0;0;1;2.664;;1999;12;Resultado
118;UNION;I;4;;12/1999;2.718;1.092;102;265;0;-1.043;-1.061;0;0;-1.137;936;;1999;12;Resultado
119;CEDULA;I;3;;12/1999;4.220;2.616;0;0;0;-2.935;0;0;0;135;4.036;;1999;12;Resultado
120;FRANCES INTER;I;4;;12/1999;427;4.312;0;338;0;-38;-519;0;0;-199;4.321;;1999;12;Resultado
121;MATONE;I;3;2;12/1999;9.486;1.352;-24;0;0;-2.972;0;0;0;-2.356;5.486;;1999;12;Resultado
122;LA REPUBLICA;I;4;;12/1999;835;730;0;888;0;-1;-25;0;0;-5.640;-3.213;;1999;12;Resultado
123;BANCAP;I;3;2;12/1999;567;957;0;0;0;-1;0;0;0;207;1.730;;1999;12;Resultado
124;HISPANO;I;4;;12/1999;0;376;0;0;0;0;0;0;0;0;376;;1999;12;Resultado
1;BNDES;I;1;;12/1999;3.158.213;845.261;-24.137;8.871;0;-325;-3.029.608;0;0;-42.186;916.089;;1999;12;Resultado
2;FIAT;C;4;;12/1999;628.672;36.165;-2.311;0;11.659;-192.082;-14.909;-386.721;0;9.987;90.460;;1999;12;Resultado
3;CCF BRASIL;C;4;;12/1999;101.485;213.166;39.976;11.692;0;-212.297;-37.889;-33.741;0;-4.627;77.765;;1999;12;Resultado
4;FORD;C;4;;12/1999;395.332;2.468;-3.901;0;0;-102.762;-48.534;-196.566;0;-25.526;20.511;;1999;12;Resultado
5;GM;C;4;;12/1999;437.549;15.141;-11.971;1;522;-133.263;-50.969;-254.925;0;40.427;42.512;;1999;12;Resultado
6;VOLKSWAGEN;C;4;;12/1999;416.161;2.698;0;0;0;-125.106;-6.224;-219.712;0;-22.175;45.642;;1999;12;Resultado
7;BRDE;I;2;;12/1999;134.071;55.110;179;0;0;0;-103.898;-9;0;-41.666;43.787;;1999;12;Resultado
8;BANCOCIDADE;C;3;;12/1999;107.320;80.464;6.832;10.712;3.654;-67.977;-24.669;-22.736;0;-14.748;78.852;;1999;12;Resultado
9;REPUBLIC NATION;C;4;;12/1999;3.021;74.183;592;0;22.175;-4.361;-68.443;0;-179;0;26.988;;1999;12;Resultado
10;LIBERAL;C;4;;12/1999;249;118.904;24.637;13.700;0;-35.986;-90.917;0;0;50;30.637;;1999;12;Resultado
11;MULTI;I;4;;12/1999;88.293;56.811;16.619;0;14;-20.084;-84.596;0;-783;550;56.824;;1999;12;Resultado
12;DAIMLERCHRYSLER;C;4;;12/1999;241.412;3.601;-3.945;0;0;-14.800;-41.722;-147.058;0;-6.451;31.037;;1999;12;Resultado
13;DESENBANCO;I;2;;12/1999;43.215;28.331;0;0;0;-5;-35.064;0;0;-9.589;26.888;;1999;12;Resultado
14;ICATU;C;3;;12/1999;1.954;191.047;23.688;3.207;0;-131.124;-15.452;0;0;0;73.320;;1999;12;Resultado
15;BDMG;I;2;1;12/1999;54.846;-8.023;0;0;0;-38;-45.319;-1;0;-4.092;-2.627;;1999;12;Resultado
16;STOCK;C;3;;12/1999;297;16.700;-171;0;0;-13.382;0;0;0;-1.002;2.442;;1999;12;Resultado
17;MATRIX;C;3;;12/1999;16.153;31.493;-34.530;2.488;0;-12.427;-13.524;0;0;-3.068;-13.415;;1999;12;Resultado
18;REDE;I;3;;12/1999;674;3.361;-330;0;0;-982;-213;0;0;-500;2.010;;1999;12;Resultado
19;INDUSVAL;C;3;;12/1999;13.997;12.036;-4.546;2.261;6;-13.158;-916;0;0;-3.056;6.624;;1999;12;Resultado
20;BRJ;I;3;;12/1999;26.051;49;0;4;7.963;-26;-24.906;0;0;-57;9.078;;1999;12;Resultado
21;EUROINVEST;I;5;2;12/1999;564;11.501;0;0;0;-14.586;-3.489;0;0;-1;-6.011;;1999;12;Resultado
22;RENDIMENTO;I;3;;12/1999;2.959;3.049;-5.077;29.611;0;-2.504;-7.475;0;0;-1.068;19.495;;1999;12;Resultado
23;VOLVO;I;4;2;12/1999;9.730;3.059;0;0;0;-857;-6.390;0;0;3.925;9.467;;1999;12;Resultado
24;MERRILL LYNCH;C;4;;12/1999;0;5.270;3.087;0;0;-2.055;0;0;0;0;6.302;;1999;12;Resultado
25;TENDENCIA;C;3;;12/1999;0;-742;-1.457;725;0;-79;-10;0;0;0;-1.563;;1999;12;Resultado
26;NEW HOLLAND;I;4;;12/1999;4.543;1.690;0;0;0;-1;-2.751;0;0;-3.196;285;;1999;12;Resultado
27;PORTO SEGURO;I;3;3;07/1997;4;1.873;0;0;0;-2.117;0;0;0;0;-240;;1999;12;Resultado
28;SOCOPA;C;3;;12/1999;5.641;6.781;-83;1.018;0;-5.708;-1.860;0;0;56;5.845;;1999;12;Resultado
29;PRIME;C;3;;12/1999;14;2.274;1;0;0;-1.315;0;0;0;3;977;;1999;12;Resultado
30;GRAPHUS;C;4;;12/1999;105;14.314;84;593;0;-11.603;-251;0;0;0;3.242;;1999;12;Resultado
31;INTERPART;I;3;3;06/1999;11.596;-47;95;0;0;-1.342;-8.288;0;0;-1.554;460;;1999;12;Resultado
32;BANCO AXIAL;I;3;2;12/1999;425;5.289;2.300;0;0;-2.349;0;0;0;0;5.665;;1999;12;Resultado
33;FONTE CINDAM;I;3;;12/1999;56;-29;-352;6;0;-334;-7;0;0;18;-642;;1999;12;Resultado
34;INDUSCRED;I;3;;12/1999;1.152;3.400;99;0;0;-2.847;0;0;0;-673;1.131;;1999;12;Resultado
35;MARKA;I;3;3;02/1999;57;25.961;-34.550;779;0;-2.213;0;0;0;807;-9.159;;1999;12;Resultado
36;TRICURY;I;3;;12/1999;5.570;2.263;-13;0;0;-3.356;0;0;0;1.181;5.645;;1999;12;Resultado
37;OURINVEST;C;3;;12/1999;7.392;1.550;-3.351;285;0;-716;-764;0;0;1.605;6.001;;1999;12;Resultado
38;TOYOTA;C;4;;12/1999;434;1.759;0;0;0;-38;0;-90;0;0;2.065;;1999;12;Resultado
39;ARBI;C;3;;12/1999;826;8.526;-836;0;0;-7.641;-433;0;-13;24;453;;1999;12;Resultado
40;EQUATORIAL;I;3;2;12/1999;1.379;3.219;33;0;0;-966;0;0;0;24;3.689;;1999;12;Resultado
41;BOREAL;I;3;2;12/1999;18;3.921;-543;13;0;-1.056;-3;0;0;6.132;8.482;;1999;12;Resultado
42;PATRIMONIO;I;3;;12/1999;0;5.143;2.174;0;0;-308;-80;0;0;0;6.929;;1999;12;Resultado
43;ROYAL INVEST;I;3;2;12/1999;670;44;0;0;0;-116;0;0;0;0;598;;1999;12;Resultado
44;MALCON;I;3;2;12/1999;3.138;934;0;0;0;-640;0;0;0;-154;3.278;;1999;12;Resultado
45;FICRISA AXELRUD;I;3;;12/1999;5.372;245;0;0;0;-1.148;0;0;0;91;4.560;;1999;12;Resultado
46;EMBLEMA;I;3;2;12/1999;615;1.981;168;0;0;-899;-28;0;0;-28;1.809;;1999;12;Resultado
47;POTTENCIAL;I;3;;12/1999;1.903;140;22;0;0;-239;-686;0;0;-412;728;;1999;12;Resultado
48;KEB;I;4;;12/1999;0;1.858;0;431;0;-26;0;0;0;0;2.263;;1999;12;Resultado
49;MAXINVEST;I;3;;12/1999;2.128;636;0;0;2;-1.175;0;0;0;-27;1.564;;1999;12;Resultado
50;FINANSINOS;I;3;2;12/1999;2.514;188;0;0;0;-505;0;0;0;-330;1.867;;1999;12;Resultado
51;HEXABANCO;I;3;;12/1999;1.702;-5.090;-27;0;0;-1.874;0;0;0;1.938;-3.351;;1999;12;Resultado
52;NACOES;I;3;;12/1999;3.594;548;97;0;0;-1.270;-159;0;0;-555;2.255;;1999;12;Resultado
53;MISASI;C;3;;12/1999;750;453;299;0;0;-484;0;0;0;-514;504;;1999;12;Resultado
54;OK;I;3;;12/1999;1.508;262;0;0;0;0;0;0;0;-317;1.453;;1999;12;Resultado
55;MINAS;I;3;;12/1999;818;742;183;0;0;-861;0;0;0;-403;479;;1999;12;Resultado
56;PERFORMANCE;I;3;;12/1999;114;-193;0;0;0;-25;0;0;0;0;-104;;1999;12;Resultado
57;INVESTOR;C;3;;12/1999;0;0;0;0;0;0;0;0;0;0;0;;1999;12;Resultado
58;STERLING;I;5;;12/1999;127;5;0;0;0;-544;0;0;0;-259;-671;;1999;12;Resultado
