ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
112;PARANA;I;3;2;12/1997;58.918;774;8.828;3.047;1.187;0;28.133;-978;5.057;2.880;0;9.991;1997;12;Ativo;
113;RENNER;I;3;;12/1997;57.149;447;5.744;29;23;0;49.146;-314;1.656;39;0;378;1997;12;Ativo;
114;MORADA;I;3;2;12/1997;55.169;56;8.213;4;3.774;0;21.330;-159;6.891;2.638;0;12.423;1997;12;Ativo;
115;UNION;I;4;;12/1997;54.570;1.721;5.105;1.587;235;0;17.339;-71;14.093;4.753;0;9.810;1997;12;Ativo;
116;BANCNACION;I;4;;12/1997;53.291;894;2.528;230;664;0;28.863;-124;15.032;20;0;5.185;1997;12;Ativo;
117;BGN;I;3;2;12/1997;55.047;0;21.661;0;369;134;26.250;-45;104;3;0;6.570;1997;12;Ativo;
118;INTERIOR;I;3;;12/1997;50.755;1.806;10.912;0;53;17;32.123;-926;787;1;0;5.983;1997;12;Ativo;
119;LUSO BRASILEIRO;I;3;;12/1997;46.511;360;9.761;4.087;391;0;22.591;-151;3.082;832;0;5.558;1997;12;Ativo;
120;SANTOS NEVES;I;3;2;12/1997;44.695;581;4.502;1.231;394;0;28.317;-521;422;625;0;9.143;1997;12;Ativo;
121;GERDAU;I;3;2;12/1997;43.253;854;3.404;0;655;0;34.935;-142;138;0;0;3.408;1997;12;Ativo;
122;CEDULA;I;3;;12/1997;40.959;256;5.680;95;110;745;25.218;0;292;171;0;8.392;1997;12;Ativo;
123;AGROINVEST;I;5;2;12/1997;39.057;8;10.408;6.068;15;0;20.907;-291;1.792;2;0;148;1997;12;Ativo;
124;RIBEIRAO PRETO;I;3;;12/1997;38.102;58;904;2.764;20;0;33.782;-240;396;246;0;173;1997;12;Ativo;
125;BANSICREDI;I;3;;12/1997;141.495;774;130.471;5;1.204;0;5.852;-94;493;0;0;2.790;1997;12;Ativo;
126;EXTERIBANK;I;4;;12/1997;33.501;24;3.626;27.724;0;0;1.316;-13;313;51;0;459;1997;12;Ativo;
127;MATONE;I;3;2;12/1997;31.352;69;5.879;2.112;63;0;19.103;-388;1.759;15;0;2.742;1997;12;Ativo;
128;OPPORTUNITY;I;3;2;12/1997;217.293;10;207.303;1.572;0;0;0;0;3.158;1;0;5.248;1997;12;Ativo;
129;BCOMURUGUAI;I;4;;12/1997;29.345;507;2.692;3.346;27;0;17.656;0;2.772;232;0;2.113;1997;12;Ativo;
130;PLANIBANC;C;5;;12/1997;28.114;171;6.436;4.171;0;0;0;0;8.963;2;0;8.373;1997;12;Ativo;
131;BANER;I;2;;12/1997;27.673;401;0;8.358;100;22;8.865;-559;1.424;108;0;8.955;1997;12;Ativo;
132;DESTAK;I;3;2;12/1997;26.353;32;12.380;8.464;666;0;3.692;0;664;0;0;456;1997;12;Ativo;
133;LA REPUBLICA;I;4;;12/1997;24.450;795;151;4.420;44;0;11.007;-484;5.292;1.636;0;1.590;1997;12;Ativo;
134;BANCOOB;I;3;;12/1997;48.518;1.667;45.053;0;105;0;0;0;308;3;0;1.382;1997;12;Ativo;
135;THECA;I;3;2;12/1997;14.120;8;1.287;0;0;0;0;0;994;2;0;11.829;1997;12;Ativo;
136;MINAS;I;3;;12/1997;12.780;28;4.256;0;143;0;5.029;-50;1.820;182;0;1.372;1997;12;Ativo;
137;BANCAP;I;3;2;12/1997;11.950;74;5.837;35;702;0;4.869;-161;195;31;0;368;1997;12;Ativo;
138;APLICAP;C;3;;12/1997;212.175;145;200.582;3.063;3;0;0;0;1.167;9;0;7.207;1997;12;Ativo;
139;CAMBIAL;C;3;;12/1997;10.252;94;3.760;986;5;0;44;0;1.621;1;0;3.740;1997;12;Ativo;
140;HISPANO;I;4;;12/1997;8.959;44;7.287;0;0;0;0;0;621;960;0;48;1997;12;Ativo;
1;BNDES;I;1;;12/1997;58.438.495;4.453;1.339;5.758.430;22.084.913;0;16.214.972;-487.366;4.297.546;2.091;0;10.562.117;1997;12;Ativo;
2;CCF BRASIL;C;4;;12/1997;9.212.123;136.300;5.155.797;1.696.261;31.928;0;677.480;-1.594;1.225.667;3.364;116.010;170.909;1997;12;Ativo;
3;NOROESTE;C;3;;12/1997;5.793.853;34.305;1.037.371;376.907;455.464;6.124;2.224.191;-82.654;1.090.318;27.277;396.137;228.413;1997;12;Ativo;
4;FIAT;C;4;;12/1997;3.447.368;12.107;279.310;84.140;227.178;0;1.578.362;-123.519;88.543;8.553;1.170.646;122.047;1997;12;Ativo;
5;BBI;C;3;;12/1997;3.321.072;10.543;150.869;2.133.749;173.827;132.465;242.230;-4.136;289.447;644;0;191.435;1997;12;Ativo;
6;BANCOCIDADE;C;3;;12/1997;2.570.974;30.682;576.770;661.213;166.332;56;741.004;-5.883;179.654;32.657;116.069;72.421;1997;12;Ativo;
