ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;ano;mes;relatorio
135;CRUZEIRO;I;3;2;06/1996;SAO PAULO;SP;23.251;23.251;13.976;-56;8.064;36;2;1996;6;Resumo
136;MATONE;I;3;2;06/1996;PORTO ALEGRE;RS;22.888;22.888;7.783;-7;12.904;54;1;1996;6;Resumo
137;LA REPUBLICA;I;4;;06/1996;SAO PAULO;SP;19.734;19.734;15.073;-848;493;37;2;1996;6;Resumo
138;SANTOS NEVES;I;3;2;06/1996;VITORIA;ES;18.800;19.390;10.935;106;6.350;56;3;1996;6;Resumo
139;INDUSCRED;I;3;2;06/1996;SAO PAULO;SP;17.879;17.879;13.622;1.272;3.795;34;1;1996;6;Resumo
140;PLANIBANC;I;5;2;06/1996;SAO PAULO;SP;13.874;13.874;10.039;-192;2.812;44;1;1996;6;Resumo
141;APLICAP;C;3;;06/1996;RIO DE JANEIRO;RJ;12.947;4.739.052;9.905;178;26;9;1;1996;6;Resumo
142;CAMBIAL;C;3;;06/1996;RIO DE JANEIRO;RJ;12.681;12.681;9.733;525;618;4;2;1996;6;Resumo
143;THECA;I;3;2;06/1996;BRASILIA;DF;9.961;9.961;9.393;1.692;0;2;1;1996;6;Resumo
144;COMERCIAL SP;I;3;;06/1996;SAO PAULO;SP;5.138;5.138;-5.899;-3.640;4.381;;;1996;6;Resumo
145;BANCIONAL;I;3;2;06/1996;SALVADOR;BA;5.110;5.110;4.347;604;563;23;1;1996;6;Resumo
1;BNDES;I;1;;06/1996;RIO DE JANEIRO;RJ;49.022.055;49.022.055;14.161.353;363.624;366.328;1.180;1;1996;6;Resumo
2;NACIONAL;I;3;2;06/1996;BELO HORIZONTE;MG;5.289.618;5.289.618;-7.227.601;-953.338;3.832.172;;;1996;6;Resumo
3;ECONOMICO;I;3;2;06/1996;SALVADOR;BA;4.455.390;4.455.390;-4.428.349;-1.780.338;73.436;1;1;1996;6;Resumo
4;CCF BRASIL;C;4;;06/1996;SAO PAULO;SP;4.088.355;7.085.471;229.269;27.283;275.933;380;3;1996;6;Resumo
5;NOROESTE;C;3;;06/1996;SAO PAULO;SP;4.067.373;4.603.138;447.433;31.578;1.737.003;5.125;90;1996;6;Resumo
6;BCO INV GARANTIA;I;3;2;06/1996;SAO PAULO;SP;2.993.067;3.277.157;443.746;73.238;464.746;;;1996;6;Resumo
7;BISA-ITAMARATI;C;3;;06/1996;SAO PAULO;SP;2.310.618;2.694.351;305.022;33.472;550.351;922;13;1996;6;Resumo
8;MULTIPLIC;C;5;;06/1996;RIO DE JANEIRO;RJ;2.202.305;2.252.334;432.901;82.115;903.776;262;2;1996;6;Resumo
9;BBI;C;3;;06/1996;SALVADOR;BA;2.122.612;2.381.235;246.479;28.692;626.956;19;3;1996;6;Resumo
10;BANCOCIDADE;C;3;;06/1996;SAO PAULO;SP;1.752.255;2.378.393;152.872;9.109;887.384;1.134;23;1996;6;Resumo
11;INTER-ATLANTICO;C;5;;06/1996;RIO DE JANEIRO;RJ;1.459.814;1.781.775;92.955;1.098;417.886;259;3;1996;6;Resumo
12;ICATU;I;3;2;06/1996;RIO DE JANEIRO;RJ;1.451.640;2.372.820;220.952;29.374;74.235;424;2;1996;6;Resumo
13;FIAT;I;4;2;06/1996;SAO PAULO;SP;1.360.659;1.461.803;200.023;36.584;431.166;667;17;1996;6;Resumo
14;BRDE;I;2;;06/1996;PORTO ALEGRE;RS;1.175.033;1.175.033;478.187;12.959;0;524;3;1996;6;Resumo
15;GENERAL MOTORS;I;4;2;06/1996;SAO PAULO;SP;1.059.756;1.059.756;116.412;3.803;229.207;720;7;1996;6;Resumo
16;BANORTE;I;3;2;06/1996;RECIFE;PE;1.028.058;1.028.058;-447.997;36.500;4.525;;;1996;6;Resumo
17;MULTI;I;4;;06/1996;SAO PAULO;SP;934.797;934.797;50.508;10.137;55.107;31;1;1996;6;Resumo
18;MATRIX;C;3;;06/1996;SAO PAULO;SP;861.196;2.262.000;98.638;6.482;28.717;81;1;1996;6;Resumo
19;FENICIA;I;3;2;06/1996;SAO PAULO;SP;846.902;846.902;69.942;7.200;199.468;176;3;1996;6;Resumo
20;BDMG;I;2;;06/1996;BELO HORIZONTE;MG;842.181;842.181;139.112;-22.414;229.747;518;1;1996;6;Resumo
21;AUTOLATINA;I;4;2;06/1996;SAO PAULO;SP;675.403;675.403;83.844;5.504;143.778;240;10;1996;6;Resumo
22;FORD;I;4;2;06/1996;SAO PAULO;SP;533.406;533.406;57.555;-5.855;244.186;150;4;1996;6;Resumo
23;DESENBANCO;I;2;;06/1996;SALVADOR;BA;498.418;498.418;58.435;-9.143;5.480;388;1;1996;6;Resumo
24;CINDAM;I;3;2;06/1996;RIO DE JANEIRO;RJ;448.365;523.955;42.070;1.433;78.128;119;2;1996;6;Resumo
25;NORCHEM;I;5;2;06/1996;SAO PAULO;SP;431.586;431.586;180.989;23.315;32.600;155;3;1996;6;Resumo
26;BANQUEIROZ;I;3;2;06/1996;SAO PAULO;SP;367.201;376.039;74.018;5.439;125.539;408;11;1996;6;Resumo
27;BCO MERCANTIL PERNAMBUCO;I;3;;06/1996;RECIFE;PE;351.336;351.336;-220.750;-110.978;264;;;1996;6;Resumo
28;BADESC;I;2;;06/1996;FLORIANOPOLIS;SC;316.342;316.342;75.485;-15.383;0;181;1;1996;6;Resumo
29;PROGRESSO;C;3;;06/1996;BELO HORIZONTE;MG;302.794;302.794;45.591;-17.933;106.073;690;27;1996;6;Resumo
30;RENDIMENTO;C;3;;06/1996;SAO PAULO;SP;284.732;485.778;41.068;1.332;104.985;96;1;1996;6;Resumo
31;INDUSVAL;C;3;;06/1996;SAO PAULO;SP;255.504;256.506;23.944;1.434;62.744;77;1;1996;6;Resumo
32;LIBERAL;C;3;;06/1996;SAO PAULO;SP;238.537;238.537;28.564;6.222;21.468;33;2;1996;6;Resumo
33;BANDES;I;2;2;06/1996;VITORIA;ES;218.154;218.154;39.650;-8.655;28.841;325;1;1996;6;Resumo
34;TRANSBANCO;I;3;2;06/1996;CURITIBA;PR;188.676;188.676;27.723;-4.327;20.942;;;1996;6;Resumo
35;GULFINVEST;I;5;2;06/1996;RIO DE JANEIRO;RJ;188.109;193.112;68.423;6.916;75.284;24;2;1996;6;Resumo
36;BRJ;I;3;;06/1996;RIO DE JANEIRO;RJ;184.138;184.138;15.790;357;1.902;66;1;1996;6;Resumo
37;FONTE;C;3;;06/1996;RIO DE JANEIRO;RJ;167.037;2.012.394;42.115;1.280;11.889;48;2;1996;6;Resumo
38;GRAPHUS;C;3;;06/1996;SAO PAULO;SP;161.460;161.460;35.317;2.226;18.554;15;2;1996;6;Resumo
39;BERON;I;2;;06/1996;PORTO VELHO;RO;154.371;154.371;-97.245;-32.909;172.357;1.001;29;1996;6;Resumo
40;BCO INV BMC;I;3;2;06/1996;SAO PAULO;SP;128.634;128.634;34.158;2.302;84.305;;;1996;6;Resumo
41;EUROINVEST;I;5;2;06/1996;RIO DE JANEIRO;RJ;125.489;146.220;37.948;3.064;56.143;6;1;1996;6;Resumo
42;DESTAK;I;3;;06/1996;RIO DE JANEIRO;RJ;111.837;1.631.297;10.700;578;5.143;24;1;1996;6;Resumo
43;MARKA;I;3;;06/1996;RIO DE JANEIRO;RJ;109.940;610.071;42.027;4.731;51.317;102;2;1996;6;Resumo
