50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1999;;;;;;;;;;;;;;;Balancetes processados até: 21/12/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
Total Consolidado Bancario III ( 1208  Instituicoes )       ;;;;;;4.726.735;523.887;341.441;1.113.017;63.924;0;2.279.784;-82.030;227.138;27.366;0;232.188;
% de Participacao Consolidado Bancario III                  ;;;;;;1,0%;3,0%;0,0%;0,0%;0,0%;0,0%;1,0%;1,0%;0,0%;1,0%;0,0%;1,0%;
Total Consolidado Nao Bancario ( 358  Instituicoes )        ;;;;;;10.676.023;84.219;1.591.814;1.698.322;1.037.647;0;3.048.772;-154.117;1.243.460;273.040;1.332.081;520.779;
% de Participacao Consolidado Nao Bancario                  ;;;;;;1,0%;0,0%;2,0%;1,0%;1,0%;0,0%;1,0%;2,0%;1,0%;6,0%;4,0%;1,0%;
Total do Sistema Financeiro Nacional                        ;;;;;;859.275.171;17.049.776;76.764.170;225.026.927;88.955.193;1.749.585;255.542.597;-8.787.806;121.087.199;4.214.102;31.020.330;46.653.064;
Fonte: Sisbacen
(*) Este grupo está subtraído do Imobilizado de Arrendamento
TD (Tipo de Documento): C - Conglomerado, I - Instituição Independente
TC (Tipo de Controle): 1 - Público Federal, 2 - Público Estadual, 3 - Privado Nacional, 4 - Privado Controle Estrangeiro, 5 - Privado Participação Estrangeira
Obs.: 1 - Excepcionalidades ao cumprimento de limites - Vide Relatório
      2 - Instituições líderes do conglomerado bancário não optante pela consolidação mensal de balancetes.
