50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1994;;;;;;;;;;;;;;;Balancetes processados até: 31/08/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
93  ;UNION                                                 ;I;4  ;         ;12/1994;82.692;595;5.182;10.897;2.289;0;50.065;-498;6.392;250;0;7.520;
94  ;PARAIBAN                                              ;I;2  ;         ;12/1994;75.731;548;16.690;16.167;1.748;16;1.805;-24;2.799;523;0;35.460;
95  ;BRASCAN                                               ;I;5  ;2        ;12/1994;62.700;456;4.413;12.241;4.570;27;20.901;-346;12.249;625;0;7.564;
96  ;CREDIBEL                                              ;I;3  ;         ;12/1994;61.064;129;5.436;11.290;3.434;0;40.394;-53;108;0;0;325;
97  ;ARAUCARIA                                             ;I;3  ;2        ;12/1994;58.354;1.080;11.662;17.713;710;0;12.198;-61;11.134;81;0;3.837;
98  ;BEMAT                                                 ;I;2  ;         ;12/1994;56.546;888;7.214;7.682;8.104;624;14.764;-39;2.833;74;0;14.402;
99  ;VR                                                    ;I;3  ;2        ;12/1994;54.656;51;20.271;13.330;2.465;0;17.871;0;29;0;0;638;
100 ;DAYCOVAL                                              ;I;3  ;2        ;12/1994;54.573;171;7.711;3.072;3.169;0;26.173;111;1.097;12;0;13.057;
101 ;LAVRA                                                 ;I;3  ;2        ;12/1994;50.864;1.380;1.915;3.632;3.698;2;26.554;-87;2.650;3;0;11.118;
102 ;BFC                                                   ;I;3  ;2        ;12/1994;52.090;26;8.046;10.297;1.012;2.046;21.493;-77;3.039;22;0;6.187;
103 ;HISPANO                                               ;I;4  ;         ;12/1994;50.697;182;2.180;299;2.246;0;26.404;-3.408;17.797;31;0;4.965;
104 ;INTERUNION                                            ;I;3  ;2        ;12/1994;49.734;37;1.055;13.464;233;15.075;10.406;-150;2.078;0;0;7.537;
105 ;GUANABARA                                             ;I;3  ;         ;12/1994;49.282;144;7.761;1.985;1.579;0;36.068;-116;1.572;11;0;278;
106 ;INTERCAP                                              ;I;3  ;2        ;12/1994;48.743;160;17.630;6.658;1.274;0;17.799;-84;1.277;1;0;4.028;
107 ;PARANA                                                ;I;3  ;2        ;12/1994;47.181;91;411;6.192;4.081;0;26.675;-292;2.763;387;0;6.873;
108 ;PROSPER                                               ;I;3  ;2        ;12/1994;46.852;116;9.794;27.804;187;140;3.679;0;71;0;0;5.062;
109 ;PECUNIA                                               ;I;3  ;2        ;12/1994;46.342;314;11.016;426;2.932;10;28.547;1;2.052;80;0;963;
110 ;BEPI                                                  ;I;2  ;         ;12/1994;46.073;162;880;1.127;3.416;1.446;28.055;-48;1.303;4.171;0;5.562;
111 ;INDUSTRIAL                                            ;I;5  ;2        ;12/1994;46.584;7;14.987;2.942;1.520;0;17.145;-1;6.053;1;0;3.932;
112 ;AGROINVEST                                            ;I;5  ;2        ;12/1994;37.619;2;12.731;6.010;784;0;17.927;-230;231;3;0;161;
113 ;BIG                                                   ;I;3  ;2        ;12/1994;34.638;67;2;5.435;717;1.667;15.361;1.108;5.106;0;0;5.174;
114 ;BANCOPAR                                              ;I;4  ;         ;12/1994;34.544;8.221;0;19.791;38;0;262;0;6.171;0;0;62;
115 ;BRASIRAQ                                              ;I;5  ;2        ;12/1994;33.670;674;2.268;354;1.779;0;8.536;0;10.667;9;0;9.382;
116 ;PRIMUS                                                ;I;3  ;2        ;12/1994;29.226;1.943;4.821;10.421;45;0;0;0;6.103;1.311;0;4.582;
117 ;LA PROVINCIA                                          ;I;4  ;         ;12/1994;29.152;3.760;1.217;12;262;0;8.446;-52;14.797;1;0;709;
118 ;UNIVERSAL                                             ;I;3  ;2        ;12/1994;29.385;62;2.166;212;1.830;3.622;16.243;-1;211;33;0;5.007;
119 ;MAPPIN                                                ;I;3  ;2        ;12/1994;28.782;446;17.803;2.981;240;0;0;0;1.756;27;0;5.529;
120 ;LUSO BRASILEIRO                                       ;I;3  ;         ;12/1994;25.509;539;5.750;927;1.540;0;13.650;-68;287;0;0;2.885;
121 ;COMERCIAL SP                                          ;I;3  ;         ;12/1994;24.669;45;5.294;1.059;1.387;0;14.345;-568;2;1.829;0;1.277;
122 ;FICSA                                                 ;I;3  ;2        ;12/1994;22.439;12;6.883;74;478;96;13.679;-1.085;1.700;31;0;570;
123 ;BANER                                                 ;I;2  ;         ;12/1994;21.342;1.469;1.150;938;282;111;7.372;0;1.067;49;0;8.903;
124 ;SEGMENTO                                              ;I;3  ;2        ;12/1994;33.587;33;13.564;6.637;448;0;8.197;0;105;0;0;4.603;
125 ;RENNER                                                ;I;3  ;         ;12/1994;18.986;198;1.655;39;1.154;173;14.704;-227;945;51;0;295;
126 ;EMPRESARIAL                                           ;I;3  ;2        ;12/1994;19.114;31;69;1.862;1.098;4.092;10.170;-597;177;1.144;0;1.068;
127 ;PLANIBANC                                             ;I;5  ;2        ;12/1994;18.717;31;17.158;174;0;0;0;0;1.284;0;0;69;
128 ;SAO JORGE                                             ;I;3  ;         ;12/1994;18.321;99;437;309;187;10;2.687;-186;2.049;6.200;0;6.530;
129 ;OPEN                                                  ;I;3  ;2        ;12/1994;18.167;63;0;399;132;1.244;610;0;12.318;50;0;3.351;
