50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional
ATIVOS
Data-base: Dezembro/1995;;;;;;;;;;;;;;;Balancetes processados até: 22/12/2005

;;;;;;;;;;;;;;;;Em R$ Mil
ATIVOS
Ranking;Instituições;TD;TC;Obs.;Data;Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper. Créd. e Arrend. Mercantil;;Outros;Outros;Imobilizado de;Permanente
;;;;;Balancete;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;Créditos;Valores e Bens;Arrendamento;(*)
45;MARKA                                                 ;I;3;         ;12/1995;121.281;45;3.533;53.984;741;2.446;12.872;-80;15.784;71;0;31.886;
46;EUROINVEST                                            ;I;5;2;12/1995;131.964;19;37.223;19;0;0;12.646;-2;51.772;0;0;30.287;
47;MARTINELLI                                            ;I;3;2;12/1995;112.899;965;14.030;6.139;1.902;0;52.242;-966;15.083;3.274;0;20.231;
48;BCO INV BMC                                                   ;I;3;2;12/1995;98.759;6;64.559;23.698;781;0;32;0;8.117;0;0;1.567;
49;BATTISTELLA                                           ;I;3;         ;12/1995;96.369;296;0;0;0;0;65.208;-1.150;4.657;4.454;0;22.904;
50;BANACRE                                               ;I;2;         ;12/1995;89.638;863;5.109;21.601;5.150;487;41.514;-306;4.244;727;0;10.250;
51;BCO BANDEIRANTES INVS                                         ;I;3;2;12/1995;88.796;181;1.621;2.653;0;0;63.946;-84;2.237;13;0;18.228;
52;FONTE                                                 ;C;3;         ;12/1995;82.145;2.700;968;30.325;0;0;4.639;0;20.772;46;0;22.696;
53;OURINVEST                                             ;C;3;         ;12/1995;80.734;1.807;58.704;9.850;556;0;6.059;-3;1.256;0;0;2.505;
54;HNF                                                   ;I;3;2;12/1995;74.373;159;11.722;4.499;1.615;0;39.259;-3.564;12.987;2.921;0;4.775;
55;FITAL                                                 ;I;3;         ;12/1995;73.157;3;65.044;6.828;955;0;0;0;291;0;0;36;
56;PORTO REAL                                            ;I;3;         ;12/1995;70.063;741;15.505;2.137;5.385;6.671;23.624;-308;2.234;2.558;0;11.516;
57;DESTAK                                                ;I;3;         ;12/1995;69.483;17;5.642;55.433;108;0;4.615;-99;854;2;0;2.911;
58;PATRIMONIO                                            ;I;3;         ;12/1995;67.763;10;21.913;37.495;0;0;0;0;2.250;0;0;6.096;
59;DIMENSAO                                              ;I;3;2;12/1995;65.723;1.710;1.199;46.597;377;0;7.648;0;4.979;1;0;3.212;
60;EQUATORIAL                                            ;I;3;         ;12/1995;65.133;115;34.361;10.618;625;0;18.934;0;187;0;0;293;
61;TENDENCIA                                             ;I;3;2;12/1995;79.354;262;21.323;15.982;78;0;2.395;0;1.452;2;0;37.859;
62;BCR                                                   ;I;3;2;12/1995;57.920;197;16.133;2.441;1.179;8;23.771;-371;6.058;1.531;0;6.974;
63;IOCHPE                                                ;I;3;         ;12/1995;60.860;79;10.470;1;1.769;377;33.681;-281;3.747;0;0;11.018;
64;STOCK                                                 ;I;3;2;12/1995;1.267.449;115;1.214.705;34.238;0;0;2.670;-440;574;6.401;0;9.188;
65;PAULISTA                                              ;I;3;2;12/1995;53.444;3.259;12.864;192;2.081;0;19.880;-323;3.988;457;0;11.047;
66;BCO MERCANTIL INVS                                            ;I;3;2;12/1995;47.794;17;16.942;71;957;0;24.566;-592;3.330;1.043;0;1.460;
67;UNITED                                                ;I;3;2;12/1995;63.076;16;20.209;2.845;387;0;8.083;-17;2.730;3;0;28.819;
68;VETOR                                                 ;C;3;         ;12/1995;60.904;130;20.978;5.807;71;0;1.925;0;20.952;8;0;11.034;
69;METROPOLITANO                                         ;I;5;         ;12/1995;42.369;163;192;7.742;702;0;16.696;-70;11.934;2.666;0;2.344;
70;HEXABANCO                                             ;I;3;         ;12/1995;38.794;1.217;4.507;6.555;563;0;19.672;-358;1.487;21;0;5.131;
71;INVESTOR                                              ;C;3;         ;12/1995;37.631;15;2.254;14.860;132;0;3.019;0;11.238;1;0;6.111;
72;INTERFINANCE                                          ;I;3;2;12/1995;51.141;226;25.670;2.913;288;0;17.894;-299;715;180;0;3.556;
73;BCO INV PLANIBANC                                             ;I;5;2;12/1995;36.137;98;19.520;0;2;0;233;0;2.272;0;0;14.013;
74;MIL                                                   ;I;3;2;12/1995;35.857;751;457;1.175;1.521;142;15.908;-184;1.911;4.039;0;10.137;
75;BFI                                                   ;I;5;2;12/1995;34.658;300;265;581;56;0;22.333;-222;7.641;0;0;3.704;
76;NACOES                                                ;I;3;         ;12/1995;34.718;291;10.076;2.429;500;0;16.496;-88;303;759;0;3.952;
77;EXPRINTER LOSAN                                       ;I;5;2;12/1995;33.284;26;10.620;11.533;0;0;0;0;9.550;3;0;1.552;
78;D'EL REY                                              ;I;3;2;12/1995;33.243;182;19.412;54;0;0;3.242;0;1.391;0;0;8.961;
79;PRIME                                                 ;C;3;         ;12/1995;33.339;77;2.500;5.098;66;0;54;0;21.382;24;0;4.139;
80;APLICAP                                               ;C;3;         ;12/1995;8.264.525;55;8.234.270;21.979;0;0;0;0;1.946;59;0;6.216;
81;TRICURY                                               ;I;3;         ;12/1995;28.242;438;8.140;276;537;0;13.871;-1.126;397;892;0;4.816;
82;AUGUSTA 251                                           ;I;3;2;12/1995;24.803;37;4.499;8;10;0;155;-4;85;4;0;20.010;
83;MAXI-DIVISA                                           ;I;3;         ;12/1995;23.747;11;0;11.929;18;0;467;0;941;0;0;10.381;
84;MISASI                                                ;C;3;         ;12/1995;22.590;22;5.115;1.515;107;0;2.008;0;6.758;757;0;6.308;
85;BCO BFB BI                                                  ;I;4;2;12/1995;20.183;4;10.781;1;0;0;0;-12;7.665;246;0;1.500;
86;STERLING                                              ;I;5;         ;12/1995;19.900;9;0;26;15.260;0;0;0;2.057;0;0;2.549;
87;EMBLEMA                                               ;I;3;2;12/1995;19.802;44;1.753;16.983;2;0;682;0;114;28;0;196;
88;MALCON                                                ;I;3;2;12/1995;17.944;28;9.453;13;137;0;4.917;-190;2.897;71;0;617;
89;VARIG                                                 ;I;3;2;12/1995;17.694;14;595;475;51;0;6.535;-383;826;2.394;0;7.187;
90;INTERPART                                             ;I;3;         ;12/1995;17.684;22;69;1.787;75;0;4.161;0;9.644;0;0;1.926;
91;FICRISA AXELRUD                                       ;I;3;2;12/1995;17.392;316;6.370;0;270;0;6.568;-798;3.615;581;0;470;
92;FINANSINOS                                            ;I;3;2;12/1995;16.261;125;3.373;37;311;0;10.672;-526;1.325;37;0;908;
93;OPERADOR                                              ;I;3;2;12/1995;16.219;5;1.589;6;88;0;2.815;2.412;428;1.781;0;7.093;
94;POTTENCIAL                                            ;I;3;         ;12/1995;14.316;26;1.903;554;323;0;10.922;-14;36;117;0;449;
95;TECNICORP                                             ;I;3;2;12/1995;12.903;118;587;6;155;0;7.245;-259;1.288;707;0;3.055;
96;MAXINVEST                                             ;I;3;         ;12/1995;12.415;54;1.998;2.337;166;0;1.968;-20;496;1;0;5.415;
97;AMERICAN EXPRES                                       ;I;4;2;12/1995;10.946;0;0;4.934;0;0;6.000;0;11;0;0;0;
98;OK                                                    ;I;3;2;12/1995;9.936;20;478;1.328;126;0;4.714;-278;6;7;0;3.535;
99;PERFORMANCE                                           ;I;3;         ;12/1995;8.394;5;2.028;1.406;0;0;30;0;1.103;2;0;3.818;
100;PORTO SEGURO                                          ;I;3;         ;12/1995;6.312;18;1.042;1.125;0;0;0;0;573;0;0;3.554;
101;DRACMA                                                ;I;3;         ;12/1995;6.203;30;57;0;220;0;3.257;-148;932;161;0;1.693;
102;BANCRED                                               ;I;3;2;12/1995;4.722;49;435;2;92;0;1.148;-25;312;91;0;2.619;
103;CRITERIUM                                             ;I;3;         ;12/1995;302.265;21;300.292;4;0;0;0;0;201;1;0;1.746;
104;TOTAL                                                 ;I;3;2;12/1995;2.902;5;1.374;163;0;0;0;0;212;0;0;1.148;
Total 5 Maiores Bancos (Consolidado Bancario II)            ;;;;;;61.772.340;713.151;4.726.684;4.758.024;16.530.686;1.567;12.306.138;-521.528;9.533.103;83.928;625.621;13.014.969;
% de Participacao 5 maiores Bancos (Consolidado Bancario II);;;;;;10,0%;7,0%;4,0%;5,0%;35,0%;0,0%;6,0%;12,0%;14,0%;2,0%;4,0%;29,0%;
Total demais Bancos (Consolidado Bancario II)               ;;;;;;41.321.306;185.311;16.852.859;6.199.517;1.297.402;311.241;9.431.315;-147.512;4.185.997;222.650;152.895;2.629.628;
Total Consolidado Bancario II ( 104  Instituicoes )         ;;;;;;103.093.646;898.462;21.579.543;10.957.541;17.828.088;312.808;21.737.453;-669.040;13.719.100;306.578;778.516;15.644.597;
% de Participacao Consolidado Bancario II                   ;;;;;;17,0%;9,0%;18,0%;12,0%;38,0%;41,0%;11,0%;15,0%;20,0%;7,0%;5,0%;35,0%;
Total Consolidado Bancario III ( 908  Instituicoes )        ;;;;;;1.174.940;90.443;30.840;166.915;21.996;0;774.973;-21.280;38.730;7.211;0;65.014;
% de Participacao Consolidado Bancario III                  ;;;;;;0,0%;1,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;
Total Consolidado Nao Bancario ( 610  Instituicoes )        ;;;;;;31.184.579;55.186;15.511.296;1.316.158;942.372;202;3.521.749;-721.968;1.789.955;518.090;7.078.606;1.172.935;
% de Participacao Consolidado Nao Bancario                  ;;;;;;5,0%;1,0%;13,0%;1,0%;2,0%;0,0%;2,0%;16,0%;3,0%;12,0%;49,0%;3,0%;
Total do Sistema Financeiro Nacional                        ;;;;;;598.379.147;10.157.844;122.953.130;88.564.414;46.832.233;767.591;201.399.925;-4.493.058;69.197.129;4.208.049;14.326.105;44.465.673;
Fonte: Sisbacen
(*) Este grupo está subtraído do Imobilizado de Arrendamento
TD (Tipo de Documento): C - Conglomerado, I - Instituição Independente
TC (Tipo de Controle): 1 - Público Federal, 2 - Público Estadual, 3 - Privado Nacional, 4 - Privado Controle Estrangeiro, 5 - Privado Participação Estrangeira
Obs.: 1 - Excepcionalidades ao cumprimento de limites - Vide Relatório
      2 - Instituições líderes do conglomerado bancário não optante pela consolidação mensal de balancetes.
